"TF" "Target" "Score" "Likelihood"
"RFX5" "ITGB4" "-0.540167095864863" "0.0079920079920079"
"RFX5" "ISCU" "0.627630499587237" "0.0069930069930069"
"RFX5" "CEP55" "0.57847980268006" "0.0009990009990009"
"RFX5" "PTPN14" "-0.641895948562816" "0.0069930069930069"
"RFX5" "IFT122" "-0.642759623167063" "0.158841158841159"
"RFX5" "SUN1" "-0.564019634641042" "0.0089910089910089"
"RFX5" "C2" "0.609843356527027" "0.023976023976024"
"RFX5" "LSM10" "0.585030627207625" "0.023976023976024"
"RFX5" "IDH2" "0.621140117938973" "0.0729270729270729"
"RFX5" "SLC8A1" "0.584714518609022" "0.0009990009990009"
"RFX5" "ARHGAP30" "0.75496038536856" "0.134865134865135"
"RFX5" "KIAA1671" "-0.541631498134089" "0.0009990009990009"
"RFX5" "HLA-DOA" "0.749965491192809" "0.849150849150849"
"RFX5" "PCDHGC5" "-0.535113944310914" "0.0009990009990009"
"RFX5" "PCDHGC4" "-0.610169868179069" "0.041958041958042"
"RFX5" "PCDHGA5" "-0.638592048808825" "0.0059940059940059"
"RFX5" "PCDHGB7" "-0.552117578626493" "0.001998001998002"
"RFX5" "PCDHGA3" "-0.606103676396217" "0.0729270729270729"
"RFX5" "PCDHGA9" "-0.646004648869449" "0.0069930069930069"
"IRX2" "DAPK2" "0.629318108385271" "0.013986013986014"
"IRX2" "SUSD2" "0.612343252896524" "0.107892107892108"
"IRX2" "SCNN1A" "0.593324232986675" "0.032967032967033"
"IRX2" "CLIC5" "0.556786103496096" "0.0829170829170829"
"IRX2" "PWWP2B" "0.540231671701051" "0.0009990009990009"
"OTX1" "TNS4" "0.592486676693413" "0.014985014985015"
"ETS1" "CFLAR" "0.6317763572858" "0.001998001998002"
"ETS1" "PRKCH" "0.791375031560471" "0.61038961038961"
"ETS1" "TNFRSF1B" "0.657783832171053" "0.036963036963037"
"ETS1" "ATP2B4" "0.632231722964369" "0.0619380619380619"
"ETS1" "TTC23" "-0.569703369089248" "0.0059940059940059"
"ETS1" "ERCC2" "-0.53383880926045" "0.157842157842158"
"ETS1" "HRH2" "0.576258879426783" "0.041958041958042"
"ETS1" "CBLB" "0.726432659744716" "0.02997002997003"
"ETS1" "MAD2L2" "0.590508969436865" "0.0009990009990009"
"ETS1" "CD93" "0.726441102444841" "0.035964035964036"
"ETS1" "TUBA4A" "0.576718702182144" "0.288711288711289"
"ETS1" "SH3BP5" "0.613047699538047" "0.024975024975025"
"ETS1" "DYRK1A" "0.694601779022626" "0.0009990009990009"
"ETS1" "PDP2" "-0.558366580239978" "0.004995004995005"
"ETS1" "SH3RF3" "0.548787697648674" "0.003996003996004"
"ETS1" "SDHAP3" "-0.591420273174016" "0.036963036963037"
"ETS1" "COL4A1" "0.579367840426009" "0.012987012987013"
"ETS1" "ADA" "0.658440974960775" "0.038961038961039"
"ETS1" "KIAA0040" "0.746065283020316" "0.026973026973027"
"ETS1" "AKAP2" "0.67750150035171" "0.004995004995005"
"ETS1" "MIR4266" "0.554633152834045" "0.0009990009990009"
"JDP2" "PLEKHG6" "0.662461574410125" "0.0079920079920079"
"JDP2" "HIP1R" "0.60200352951837" "0.050949050949051"
"JDP2" "VPS37B" "0.863007429176503" "0.234765234765235"
"JDP2" "STX3" "0.637996920993867" "0.02997002997003"
"JDP2" "STK19" "0.581591926400162" "0.494505494505495"
"KLF12" "LRPAP1" "-0.571890522128223" "0.0009990009990009"
"RARA" "BCAR1" "0.744351745670253" "0.373626373626374"
"RARA" "RELT" "0.71504813417497" "0.0009990009990009"
"RARA" "TTC7A" "0.622670468830751" "0.0099900099900099"
"RARA" "SH3BP2" "0.615684197512964" "0.001998001998002"
"RARA" "CYB5R3" "0.530477816615387" "0.128871128871129"
"RARA" "HCFC1R1" "0.559285929414589" "0.003996003996004"
"RARA" "GSK3A" "0.673939298615512" "0.235764235764236"
"RARA" "SLC12A7" "0.580712270302709" "0.0009990009990009"
"RARA" "GNAT1" "0.597556933060875" "0.0069930069930069"
"RARA" "KPTN" "0.567843613594905" "0.100899100899101"
"RARA" "ANXA11" "0.735587279201396" "0.017982017982018"
"RARA" "TP53TG5" "0.624275181419598" "0.002997002997003"
"RARA" "ARMC7" "0.568451576787146" "0.0009990009990009"
"RARA" "VASP" "0.692147920072171" "0.0549450549450549"
"RARA" "DOHH" "0.543175958632647" "0.0009990009990009"
"RARA" "ZSWIM4" "0.688580993989941" "0.036963036963037"
"RARA" "MYBBP1A" "0.61635238538617" "0.0009990009990009"
"RARA" "SLC41A1" "0.735427986379824" "0.017982017982018"
"RARA" "MYBPC3" "0.641874639997695" "0.107892107892108"
"RARA" "ALPK3" "0.536643140605636" "0.0009990009990009"
"RARA" "CDK9" "0.725208177873894" "0.18981018981019"
"RARA" "FPGS" "0.625710294848868" "0.0009990009990009"
"RARA" "ADAMTSL4" "0.822346294614325" "0.396603396603397"
"RARA" "ZYX" "0.716488077962442" "0.0009990009990009"
"RARA" "VASN" "0.663531798281704" "0.004995004995005"
